,imdb,movies,hotpotqa
imdb,0.9193 ± 0.0207,0.6209 ± 0.0059,0.7022 ± 0.0097
movies,0.6701 ± 0.0080,0.5872 ± 0.0062,0.6344 ± 0.0143
hotpotqa,0.7835 ± 0.0536,0.5879 ± 0.0060,0.6614 ± 0.0365
