,imdb,movies,hotpotqa
imdb,0.9149 ± 0.0012,0.7070 ± 0.0028,0.6231 ± 0.0035
movies,0.8551 ± 0.0109,0.7706 ± 0.0013,0.6746 ± 0.0031
hotpotqa,0.8871 ± 0.0013,0.7693 ± 0.0020,0.7192 ± 0.0061
