,imdb,movies,hotpotqa
imdb,0.6480 ± 0.0325,0.7417 ± 0.0036,0.6370 ± 0.0020
movies,0.7186 ± 0.0589,0.7608 ± 0.0017,0.6586 ± 0.0043
hotpotqa,0.6547 ± 0.0623,0.7482 ± 0.0010,0.6543 ± 0.0195
