,imdb,movies,hotpotqa
imdb,0.8836 ± 0.0006,0.8317 ± 0.0056,0.7089 ± 0.0022
movies,0.8737 ± 0.0112,0.8382 ± 0.0051,0.7033 ± 0.0008
hotpotqa,0.8738 ± 0.0011,0.8282 ± 0.0084,0.6995 ± 0.0047
