,imdb,movies,hotpotqa
imdb,0.9470 ± 0.0020,0.6541 ± 0.0039,0.7093 ± 0.0031
movies,0.8914 ± 0.0106,0.7263 ± 0.0022,0.7286 ± 0.0007
hotpotqa,0.9517 ± 0.0008,0.7049 ± 0.0024,0.7423 ± 0.0012
